timerange,map_idx,pm2_5
0,109,70.0
0,110,60.0
0,141,73.8
0,142,76.5
0,143,75.2
0,174,79.8
0,175,76.4
0,207,77.0
0,208,77.0
0,209,76.0
0,240,75.3
0,241,74.2
0,242,75.1
0,274,79.2
0,308,41.0
0,340,44.8
0,372,54.0
0,392,61.9
0,402,114.8
0,403,63.9
0,404,65.0
0,424,66.5
0,433,135.1
0,434,139.9
0,436,84.5
0,437,91.0
0,456,65.6
0,465,131.4
0,466,133.2
0,467,153.6
0,468,116.2
0,488,60.0
0,495,63.6
0,500,96.1
0,502,54.8
0,527,77.0
0,534,68.6
0,559,90.4
0,560,95.0
0,566,73.6
0,567,75.4
0,568,75.0
0,592,95.4
0,594,93.0
0,600,75.3
0,910,44.4
0,942,46.3
0,943,48.4
0,944,49.0
0,975,37.7
0,1007,34.2
1,109,68.0
1,141,70.8
1,172,90.5
1,173,82.2
1,204,88.0
1,205,85.5
1,212,32.0
1,213,34.7
1,214,37.1
1,237,88.9
1,244,30.5
1,269,90.2
1,271,81.1
1,272,83.0
1,273,78.9
1,274,74.6
1,276,33.7
1,301,97.0
1,306,80.0
1,308,40.9
1,309,45.6
1,340,39.2
1,360,60.7
1,369,65.0
1,370,76.0
1,372,39.8
1,392,62.6
1,393,64.8
1,394,74.8
1,404,52.0
1,405,43.0
1,436,66.7
1,437,52.0
1,466,142.5
1,467,142.9
1,468,91.9
1,469,50.0
1,540,73.2
1,541,71.0
1,542,66.8
1,543,73.3
1,560,90.9
1,568,74.0
1,569,76.5
1,570,73.8
1,571,68.0
1,594,87.3
1,600,71.7
1,846,56.8
1,878,65.3
1,879,55.0
1,911,54.9
1,912,53.0
1,943,46.2
1,944,48.8
1,975,41.6
1,1007,34.3
1,1008,36.2
2,44,73.0
2,76,72.0
2,77,71.0
2,108,82.1
2,120,27.8
2,121,26.7
2,141,83.8
2,152,29.4
2,172,81.0
2,173,84.5
2,183,42.8
2,184,44.3
2,204,80.0
2,205,88.0
2,215,37.0
2,236,76.0
2,237,91.0
2,267,77.7
2,268,80.0
2,271,75.8
2,272,73.6
2,273,74.2
2,299,78.7
2,304,71.7
2,305,75.5
2,331,85.0
2,336,76.0
2,338,95.3
2,363,76.1
2,370,100.8
2,394,72.4
2,395,77.0
2,398,107.2
2,399,96.0
2,431,92.0
2,432,91.8
2,433,96.0
2,465,99.3
2,466,131.9
2,500,115.5
2,531,92.6
2,532,99.6
2,542,66.6
2,543,72.8
2,544,75.7
2,560,90.2
2,561,95.0
2,562,95.4
2,563,98.5
2,594,77.5
2,846,63.3
2,878,62.5
2,910,62.2
2,942,64.1
2,943,36.5
2,974,66.0
2,975,36.0
2,1006,57.0
2,1007,35.4
3,48,36.5
3,75,70.0
3,77,76.1
3,78,43.9
3,79,36.3
3,106,63.5
3,107,71.0
3,108,79.3
3,109,76.5
3,110,70.0
3,136,67.0
3,137,62.0
3,138,69.0
3,141,75.2
3,152,28.0
3,153,23.7
3,168,65.0
3,172,78.0
3,173,75.2
3,185,31.5
3,186,34.0
3,200,63.7
3,204,77.0
3,218,41.0
3,219,37.7
3,232,64.0
3,251,44.0
3,272,68.0
3,273,72.0
3,283,56.0
3,301,80.0
3,302,86.1
3,305,73.6
3,315,58.5
3,333,83.2
3,334,91.4
3,336,75.0
3,347,51.0
3,348,51.0
3,365,88.3
3,366,87.1
3,368,77.2
3,380,56.2
3,398,98.6
3,399,87.0
3,400,84.5
3,412,56.5
3,431,95.1
3,444,61.0
3,445,60.0
3,463,32.2
3,465,96.3
3,466,100.6
3,467,122.6
3,468,120.0
3,477,65.0
3,479,71.2
3,495,33.0
3,500,121.4
3,509,66.0
3,510,70.1
3,511,67.0
3,527,89.0
3,541,71.9
3,542,61.7
3,573,73.0
3,594,80.7
3,846,44.1
3,878,48.5
3,910,46.6
3,911,45.0
3,942,39.8
3,1007,56.0
3,1008,52.8
4,85,32.6
4,86,36.0
4,117,36.6
4,149,36.7
4,181,34.6
4,212,37.0
4,213,37.4
4,232,65.6
4,233,61.0
4,264,67.4
4,265,61.2
4,266,73.8
4,267,76.4
4,268,80.6
4,273,89.1
4,296,71.5
4,305,94.5
4,306,85.0
4,333,79.0
4,336,90.6
4,365,83.1
4,366,84.4
4,368,95.5
4,398,91.7
4,399,96.1
4,400,89.0
4,431,96.0
4,432,96.7
4,433,98.0
4,465,97.0
4,480,73.3
4,512,82.0
4,513,78.7
4,514,80.0
4,527,83.5
4,546,85.5
4,547,78.8
4,548,72.3
4,559,30.7
4,562,63.0
4,568,94.5
4,569,96.2
4,570,91.4
4,571,77.5
4,572,77.0
4,580,68.0
4,581,60.0
4,591,0.0
4,594,65.2
4,599,97.5
4,600,96.0
4,613,67.0
