temp,rain,wind_speed,wind_degree,wind_direction
0,0,2.8,265.1,W
-0.3,0,1.7,242.7,WSW
-0.2,0,2.5,258.1,WSW
-0.5,0,2.2,252.6,WSW
-2.3,0,0.9,238.3,WSW
-2,0,0.6,81.2,E
-2.5,0,0.5,264.5,W
-2.6,0,1.1,253,WSW
-2.3,0,1.1,254.3,WSW
-0.5,0,1.1,229.7,SW
1,0,2,316.4,NW
2,0,3,352.4,N
3.1,0,3.3,353.9,N
4.2,0,2.3,7.7,N
4.6,0,2.7,342.2,NNW
5,0,2.9,340.6,NNW
4.9,0,2.5,278,W
3.7,0,1.8,246.1,WSW
2.8,0,2.5,322,NW
2.1,0,1.6,346.5,NNW
1.4,0,0.6,349.7,N
0.2,0,1.4,271.8,W
-0.1,0,1.3,242.6,WSW
-0.5,0,1.6,245.8,WSW
-0.9,0,1.8,244,WSW
-0.8,0,1.6,246.1,WSW
-1.3,0,2.5,244.3,WSW
-2.7,0,0.5,349.2,N
-2.6,0,1.7,234.5,SW
-2.3,0,1.9,247.4,WSW
-3.5,0,0.5,254.7,WSW
-3.8,0,0.3,218.5,SW
-3.8,0,0.8,217.5,SW
-1.6,0,1.3,189.8,S
0,0,2.3,236.3,WSW
2.6,0,1.8,243.3,WSW
4.6,0,1.8,228.1,SW
6.6,0,1.7,280.7,W
7.1,0,2.1,246.2,WSW
7.2,0,2.1,281.7,WNW
6.1,0,4.8,2.4,N
5.2,0,2.3,351.8,N
4.9,0,4.3,356,N
4.1,0,6.1,344.7,NNW
3.4,0,5,0.6,N
2.9,0,2.6,3.8,N
2.2,0,1.7,249,WSW
2.5,0,3.7,258.5,WSW
1.7,0,3,336.8,NNW
1,0,4.8,355.2,N
-0.6,0,2.3,308,NW
-1.6,0,1.1,286.3,WNW
-1.5,0,1.5,347.4,NNW
-2.4,0,1.1,7.9,N
-2.1,0,2.5,314.5,NW
-3,0,1.6,303.3,WNW
-2.8,0,0.7,145.4,SE
-1.9,0,2.9,317.2,NW
-0.9,0,2,303.4,WNW
0.5,0,2.2,308,NW
1.2,0,2.9,354.6,N
1.9,0,2.6,324.4,NW
2.8,0,2.2,309.3,NW
3,0,2.5,331.1,NNW
2.1,0,2.3,335.2,NNW
1.6,0,1.7,334.6,NNW
0.3,0,1.9,288.4,WNW
-0.5,0,1.7,314.5,NW
-0.4,0,3.2,337.8,NNW
-1.8,0,1,290.8,WNW
-1.7,0,1.9,316.7,NW
-1.9,0,2.6,294.1,WNW
-2.5,0,2.5,301.6,WNW
-2.9,0,0.8,307.9,NW
-2.9,0,2.1,348.4,NNW
-3.4,0,1.6,321.2,NW
-3.4,0,1.6,307.4,NW
-3.6,0,0.7,282.4,WNW
-3.5,0,0.6,286.2,WNW
-3.4,0,2.2,334.7,NNW
-3.5,0,2,326.2,NW
-2.2,0,1.7,344,NNW
-1.3,0,2,316.2,NW
-0.4,0,2.5,295.5,WNW
1.1,0,2.9,297.8,WNW
2.3,0,2.5,294.7,WNW
3.4,0,1.9,299.4,WNW
3.9,0,1.3,314.8,NW
3.6,0,2.1,289.7,WNW
2.9,0,2.1,312.8,NW
2.3,0,1.6,326.3,NNW
1.8,0,1.5,329.1,NNW
1.6,0,0.7,329.6,NNW
1.5,0,0.9,267.3,W
1.1,0,2.1,328.1,NNW
1,0,0.9,309.5,NW
0.9,0,0.5,261.7,W
0.6,0,0.6,270.1,W
0.3,0,0.8,312.8,NW
0.3,0,0.8,259.6,W
-0.1,0,1.3,292.9,WNW
0,0,0.8,297.7,WNW
0,0,2.4,290.1,WNW
0,0,1.5,245.7,WSW
0,0,1.7,255.2,WSW
0.6,0,1.5,286,WNW
2.3,0,2.5,290.8,WNW
2.5,0,2.9,307.1,NW
3.5,0,3.6,329.4,NNW
4.4,0,2.4,355.3,N
5.5,0,2.7,357.5,N
5.7,0,3.5,335.3,NNW
5.1,0,3.3,337.9,NNW
4.2,0,4.6,320.9,NW
2.8,0,4.1,326.5,NNW
2.1,0,4.8,346.3,NNW
0.9,0,1.1,112,ESE
0.7,0,1.9,323.2,NW
0.2,0,1.2,287.2,WNW
-0.5,0,2.9,321.4,NW
-1.1,0,2.2,21.6,NNE
-1.7,0,1.6,265.6,W
-2.1,0,0.4,22,NNE
-2.2,0,1.4,347.7,NNW
-2.3,0,0.9,299.7,WNW
-3,0,1.2,265.4,W
-2.3,0,1.7,245.9,WSW
-2.8,0,0.5,252.3,WSW
